mode: set
3layerarch/main.go:21.13,23.16 2 0
3layerarch/main.go:23.16,25.3 1 0
3layerarch/main.go:26.2,26.15 1 0
3layerarch/main.go:26.15,27.36 1 0
3layerarch/main.go:27.36,29.4 1 0
3layerarch/main.go:33.2,39.16 2 0
3layerarch/main.go:39.16,41.3 1 0
3layerarch/main.go:44.2,48.16 2 0
3layerarch/main.go:48.16,50.3 1 0
3layerarch/main.go:53.2,82.33 15 0
3layerarch/handler/user/handler.go:22.40,24.2 1 1
3layerarch/handler/user/handler.go:26.70,28.34 2 1
3layerarch/handler/user/handler.go:28.34,31.3 2 1
3layerarch/handler/user/handler.go:32.2,33.49 2 1
3layerarch/handler/user/handler.go:33.49,36.3 2 1
3layerarch/handler/user/handler.go:37.2,37.48 1 1
3layerarch/handler/user/handler.go:37.48,40.3 2 1
3layerarch/handler/user/handler.go:41.2,41.35 1 1
3layerarch/handler/user/handler.go:44.67,46.17 2 1
3layerarch/handler/user/handler.go:46.17,49.3 2 1
3layerarch/handler/user/handler.go:50.2,51.16 2 1
3layerarch/handler/user/handler.go:51.16,54.3 2 1
3layerarch/handler/user/handler.go:55.2,56.16 2 1
3layerarch/handler/user/handler.go:56.16,59.3 2 1
3layerarch/handler/user/handler.go:60.2,61.38 2 1
3layerarch/handler/user/handler.go:61.38,63.3 1 0
3layerarch/handler/user/mock_interface.go:32.67,36.2 3 1
3layerarch/handler/user/mock_interface.go:39.65,41.2 1 1
3layerarch/handler/user/mock_interface.go:44.59,49.2 4 1
3layerarch/handler/user/mock_interface.go:52.71,55.2 2 1
3layerarch/handler/user/mock_interface.go:58.64,64.2 5 1
3layerarch/handler/user/mock_interface.go:67.69,70.2 2 1
3layerarch/service/user/mock_interface.go:32.63,36.2 3 1
3layerarch/service/user/mock_interface.go:39.61,41.2 1 1
3layerarch/service/user/mock_interface.go:44.57,49.2 4 1
3layerarch/service/user/mock_interface.go:52.69,55.2 2 1
3layerarch/service/user/mock_interface.go:58.62,64.2 5 1
3layerarch/service/user/mock_interface.go:67.67,70.2 2 1
3layerarch/service/user/service.go:18.36,20.2 1 1
3layerarch/service/user/service.go:22.51,23.18 1 1
3layerarch/service/user/service.go:23.18,25.3 1 1
3layerarch/service/user/service.go:26.2,26.30 1 1
3layerarch/service/user/service.go:29.56,30.13 1 1
3layerarch/service/user/service.go:30.13,32.3 1 1
3layerarch/service/user/service.go:33.2,34.16 2 1
3layerarch/service/user/service.go:34.16,35.27 1 1
3layerarch/service/user/service.go:35.27,37.4 1 1
3layerarch/service/user/service.go:38.3,38.28 1 1
3layerarch/service/user/service.go:40.2,40.15 1 1
3layerarch/service/task/mock_interface.go:32.63,36.2 3 1
3layerarch/service/task/mock_interface.go:39.61,41.2 1 1
3layerarch/service/task/mock_interface.go:44.57,49.2 4 1
3layerarch/service/task/mock_interface.go:52.69,55.2 2 1
3layerarch/service/task/mock_interface.go:58.50,63.2 4 1
3layerarch/service/task/mock_interface.go:66.70,69.2 2 1
3layerarch/service/task/mock_interface.go:72.62,78.2 5 1
3layerarch/service/task/mock_interface.go:81.67,84.2 2 1
3layerarch/service/task/mock_interface.go:87.50,92.2 4 1
3layerarch/service/task/mock_interface.go:95.70,98.2 2 1
3layerarch/service/task/mock_interface.go:101.60,107.2 5 0
3layerarch/service/task/mock_interface.go:110.63,113.2 2 0
3layerarch/service/task/mock_interface.go:128.67,132.2 3 1
3layerarch/service/task/mock_interface.go:135.65,137.2 1 1
3layerarch/service/task/mock_interface.go:140.64,146.2 5 1
3layerarch/service/task/mock_interface.go:149.69,152.2 2 1
3layerarch/service/task/service.go:28.49,30.2 1 1
3layerarch/service/task/service.go:32.51,35.18 2 1
3layerarch/service/task/service.go:35.18,37.3 1 1
3layerarch/service/task/service.go:39.2,40.16 2 1
3layerarch/service/task/service.go:40.16,42.3 1 1
3layerarch/service/task/service.go:43.2,43.34 1 1
3layerarch/service/task/service.go:46.56,47.13 1 1
3layerarch/service/task/service.go:47.13,49.3 1 1
3layerarch/service/task/service.go:50.2,51.16 2 1
3layerarch/service/task/service.go:51.16,52.27 1 1
3layerarch/service/task/service.go:52.27,54.4 1 1
3layerarch/service/task/service.go:55.3,55.28 1 1
3layerarch/service/task/service.go:57.2,57.18 1 1
3layerarch/service/task/service.go:60.54,62.2 1 0
3layerarch/service/task/service.go:64.44,65.13 1 1
3layerarch/service/task/service.go:65.13,67.3 1 1
3layerarch/service/task/service.go:68.2,69.16 2 1
3layerarch/service/task/service.go:69.16,70.27 1 1
3layerarch/service/task/service.go:70.27,72.4 1 1
3layerarch/service/task/service.go:73.3,73.13 1 1
3layerarch/service/task/service.go:75.2,75.35 1 1
3layerarch/service/task/service.go:78.44,79.13 1 1
3layerarch/service/task/service.go:79.13,81.3 1 1
3layerarch/service/task/service.go:82.2,83.16 2 1
3layerarch/service/task/service.go:83.16,84.27 1 1
3layerarch/service/task/service.go:84.27,86.4 1 1
3layerarch/service/task/service.go:87.3,87.13 1 1
3layerarch/service/task/service.go:89.2,89.35 1 1
3layerarch/handler/task/handler.go:17.40,19.2 1 1
3layerarch/handler/task/handler.go:21.70,23.34 2 1
3layerarch/handler/task/handler.go:23.34,26.3 2 1
3layerarch/handler/task/handler.go:27.2,28.49 2 1
3layerarch/handler/task/handler.go:28.49,31.3 2 1
3layerarch/handler/task/handler.go:32.2,32.48 1 1
3layerarch/handler/task/handler.go:32.48,35.3 2 1
3layerarch/handler/task/handler.go:36.2,36.35 1 1
3layerarch/handler/task/handler.go:39.67,41.17 2 1
3layerarch/handler/task/handler.go:41.17,44.3 2 1
3layerarch/handler/task/handler.go:45.2,46.16 2 1
3layerarch/handler/task/handler.go:46.16,49.3 2 1
3layerarch/handler/task/handler.go:50.2,51.16 2 1
3layerarch/handler/task/handler.go:51.16,54.3 2 1
3layerarch/handler/task/handler.go:55.2,56.38 2 1
3layerarch/handler/task/handler.go:56.38,58.3 1 0
3layerarch/handler/task/handler.go:61.69,63.16 2 1
3layerarch/handler/task/handler.go:63.16,66.3 2 1
3layerarch/handler/task/handler.go:67.2,68.38 2 1
3layerarch/handler/task/handler.go:68.38,70.3 1 0
3layerarch/handler/task/handler.go:73.70,75.17 2 1
3layerarch/handler/task/handler.go:75.17,78.3 2 1
3layerarch/handler/task/handler.go:79.2,80.16 2 1
3layerarch/handler/task/handler.go:80.16,83.3 2 1
3layerarch/handler/task/handler.go:84.2,84.49 1 1
3layerarch/handler/task/handler.go:84.49,87.3 2 1
3layerarch/handler/task/handler.go:88.2,88.30 1 1
3layerarch/handler/task/handler.go:91.70,93.17 2 1
3layerarch/handler/task/handler.go:93.17,96.3 2 1
3layerarch/handler/task/handler.go:97.2,98.16 2 1
3layerarch/handler/task/handler.go:98.16,101.3 2 1
3layerarch/handler/task/handler.go:102.2,102.49 1 1
3layerarch/handler/task/handler.go:102.49,105.3 2 1
3layerarch/handler/task/handler.go:106.2,106.30 1 1
3layerarch/handler/task/mock_interface.go:32.67,36.2 3 1
3layerarch/handler/task/mock_interface.go:39.65,41.2 1 1
3layerarch/handler/task/mock_interface.go:44.59,49.2 4 1
3layerarch/handler/task/mock_interface.go:52.71,55.2 2 1
3layerarch/handler/task/mock_interface.go:58.52,63.2 4 1
3layerarch/handler/task/mock_interface.go:66.72,69.2 2 1
3layerarch/handler/task/mock_interface.go:72.64,78.2 5 1
3layerarch/handler/task/mock_interface.go:81.69,84.2 2 1
3layerarch/handler/task/mock_interface.go:87.52,92.2 4 1
3layerarch/handler/task/mock_interface.go:95.72,98.2 2 1
3layerarch/handler/task/mock_interface.go:101.62,107.2 5 1
3layerarch/handler/task/mock_interface.go:110.65,113.2 2 1
3layerarch/store/user/store.go:12.29,14.2 1 1
3layerarch/store/user/store.go:16.49,19.2 2 1
3layerarch/store/user/store.go:21.54,25.2 3 1
3layerarch/store/task/store.go:13.29,15.2 1 1
3layerarch/store/task/store.go:17.49,20.2 2 1
3layerarch/store/task/store.go:22.54,27.2 3 1
3layerarch/store/task/store.go:29.52,31.16 2 1
3layerarch/store/task/store.go:31.16,33.3 1 0
3layerarch/store/task/store.go:34.2,34.15 1 1
3layerarch/store/task/store.go:34.15,35.38 1 1
3layerarch/store/task/store.go:35.38,37.4 1 0
3layerarch/store/task/store.go:40.2,41.18 2 1
3layerarch/store/task/store.go:41.18,43.76 2 1
3layerarch/store/task/store.go:43.76,45.4 1 0
3layerarch/store/task/store.go:46.3,46.27 1 1
3layerarch/store/task/store.go:48.2,48.19 1 1
3layerarch/store/task/store.go:51.42,54.2 2 1
3layerarch/store/task/store.go:56.42,59.2 2 1
